"name","html_url","description","stars","forks","language","owner","pushed_at","size_kb","is_fork"
"145666055-gccp_code_migration","https://github.aexp.com/amex-archives/145666055-gccp_code_migration","Creating repo for gccp Carid ","0","3",,"amex-archives","2026-07-17T16:05:06Z","167","False"
"200003920-tra-ebb","https://github.aexp.com/amex-archives/200003920-tra-ebb",,"1","2",,"amex-archives","2026-06-30T03:54:51Z","9346","False"
"500000975-synthetic_test_data","https://github.aexp.com/amex-archives/500000975-synthetic_test_data","Synthetic test data generator","0","1","Python","amex-archives","2026-07-08T06:33:53Z","921","False"
"600000248-stt-accuracy-analysis","https://github.aexp.com/amex-archives/600000248-stt-accuracy-analysis","Repository responsible for processing the accuracy of audio file transcripts.","1","0","Python","amex-archives","2026-07-17T17:23:58Z","89921","False"
"600000349_dasre-datadog-metrics","https://github.aexp.com/amex-archives/600000349_dasre-datadog-metrics","Create a Python service that will Custom Metrics from Resy and LoungeBuddy's Datadog and Push to Amex Sahara Platform","0","0","Python","amex-archives","2026-07-13T23:08:15Z","98","False"
"600000544-gke-tdmgcp-orchestrator","https://github.aexp.com/amex-archives/600000544-gke-tdmgcp-orchestrator",,"0","0","HCL","amex-archives","2026-06-08T19:26:02Z","207","True"
"600000871-ls-batch-service","https://github.aexp.com/amex-archives/600000871-ls-batch-service","Repo for batch related services in Lounge Services","0","0","TypeScript","amex-archives","2026-03-30T16:14:38Z","258","False"
"600000959-banking-billpay-returns-automation","https://github.aexp.com/amex-archives/600000959-banking-billpay-returns-automation","Automation of Returns processing from FIS BillPay.","0","0","HCL","amex-archives","2025-12-04T19:06:00Z","62","False"
"600000959-banking-intraday-emailreporting","https://github.aexp.com/amex-archives/600000959-banking-intraday-emailreporting",,"0","0","Python","amex-archives","2026-01-14T14:59:29Z","10028","False"
"600000999-gon-sample","https://github.aexp.com/amex-archives/600000999-gon-sample",,"0","0","Mustache","amex-archives","2025-07-26T03:16:25Z","293","False"
"600001196_dp-p2p-sor-portal","https://github.aexp.com/amex-archives/600001196_dp-p2p-sor-portal",,"2","4","JavaScript","amex-archives","2026-07-20T17:47:15Z","10966","False"
